,day,recovery_state,event
0,0,緊急対応期,避難勧告の発令
1,1,緊急対応期,避難勧告の発令
2,2,緊急対応期,避難勧告の発令
3,3,緊急対応期,避難勧告の発令
4,4,緊急対応期,避難勧告の発令
5,5,緊急対応期,避難勧告の発令
6,6,緊急対応期,通信の復旧
7,7,緊急対応期,通信の復旧
8,8,緊急対応期,通信の復旧
9,9,緊急対応期,通信の復旧
10,10,緊急対応期,通信の復旧
11,11,緊急対応期,通信の復旧
12,12,緊急対応期,通信の復旧
13,13,緊急対応期,通信の復旧
14,14,緊急対応期,通信の復旧
15,15,緊急対応期,通信の復旧
16,16,応急復旧期,物資の配給
17,17,応急復旧期,物資の配給
18,18,応急復旧期,物資の配給
19,19,応急復旧期,物資の配給
20,20,応急復旧期,避難所からの帰宅
21,21,応急復旧期,避難所からの帰宅
22,22,応急復旧期,避難所からの帰宅
23,23,応急復旧期,避難所からの帰宅
24,24,応急復旧期,避難所からの帰宅
25,25,応急復旧期,避難所からの帰宅
26,26,本格復旧準備期,仮設住宅への移動
27,27,本格復旧準備期,仮設住宅への移動
28,28,本格復旧準備期,仮設住宅への移動
29,29,本格復旧準備期,仮設住宅への移動
30,30,本格復旧準備期,仮設住宅への移動
31,31,本格復旧準備期,仮設住宅への移動
32,32,本格復旧準備期,通勤の再開
33,33,本格復旧準備期,通勤の再開
34,34,本格復旧準備期,通勤の再開
35,35,本格復旧準備期,通勤の再開
36,36,本格復旧期,仮設住宅からの帰宅
37,37,本格復旧期,仮設住宅からの帰宅
38,38,復旧完了,避難所から一時提供住宅への移動
